,Source Account,Date,Structured Timestamp,Tweets Ago,Tweet Text,Tweet Category,Compound,Positive,Neutral,Negative
112,CBS,Wed Aug 01 23:19:31 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=19, tm_sec=31, tm_wday=2, tm_yday=213, tm_isdst=-1)",13,"French lawmakers approve fines for sex harassment on streets, ban on ""upskirting"" https://t.co/QZBvVo5LNQ https://t.co/bHXYhGJ4b5",Other,-0.7964,0.0,0.628,0.372
113,CBS,Wed Aug 01 23:03:34 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=23, tm_min=3, tm_sec=34, tm_wday=2, tm_yday=213, tm_isdst=-1)",14,A 10-year-old named Clark Kent broke a swimming record held by Michael Phelps for 23 years. He also got the attenti… https://t.co/icpGN3VBfW,Other,-0.4215,0.0,0.872,0.128
114,CBS,Wed Aug 01 22:59:55 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=59, tm_sec=55, tm_wday=2, tm_yday=213, tm_isdst=-1)",15,An ISIS group in central Asia says it killed an American couple that was bike riding around the world. Chip Reid ha… https://t.co/Fu4TiO6TL5,Disaster/War,-0.6705,0.0,0.83,0.17
115,CBS,Wed Aug 01 22:56:20 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=56, tm_sec=20, tm_wday=2, tm_yday=213, tm_isdst=-1)",16,"Penn. is investigating the sexual abuse by priests in 6 Catholic dioceses. With the grand jury report due out soon,… https://t.co/cOB495o0b0",Other,-0.296,0.119,0.714,0.167
116,CBS,Wed Aug 01 22:50:52 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=50, tm_sec=52, tm_wday=2, tm_yday=213, tm_isdst=-1)",17,"Officials say the Carr Fire has destroyed more than 1,000 homes, making it the sixth most destructive in California… https://t.co/meZwjwCSci",Other,-0.8718,0.0,0.632,0.368
117,CBS,Wed Aug 01 22:47:27 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=47, tm_sec=27, tm_wday=2, tm_yday=213, tm_isdst=-1)",18,"President Trump called for Attorney General Jeff Sessions to end Robert Mueller's Russia investigation, but White H… https://t.co/QabDlanMxz",Other,0.0,0.0,1.0,0.0
118,CBS,Wed Aug 01 22:43:16 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=43, tm_sec=16, tm_wday=2, tm_yday=213, tm_isdst=-1)",19,Houston police have identified the suspect in the murder of a cardiologist who once treated president George H.W. B… https://t.co/RpNIPglIKZ,Other,-0.7845,0.0,0.711,0.289
119,CBS,Wed Aug 01 22:40:59 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=40, tm_sec=59, tm_wday=2, tm_yday=213, tm_isdst=-1)",20,"Stunning new video shows an Aeromexico plane with 103 on board before it crashed in Durango, Mexico. 

Survivors sp… https://t.co/UHwygz10oE",Disaster/War,0.3818,0.12,0.88,0.0
120,CBS,Wed Aug 01 22:19:34 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=19, tm_sec=34, tm_wday=2, tm_yday=213, tm_isdst=-1)",21,Google reportedly plans a return to China's search market and has been developing a censored version of its search… https://t.co/HD5p9uKnO5,Other,-0.1531,0.0,0.914,0.086
121,CBS,Wed Aug 01 22:01:16 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=22, tm_min=1, tm_sec=16, tm_wday=2, tm_yday=213, tm_isdst=-1)",22,"A caravan of ""grannies"" is traveling 2,000 miles across the U.S. to the border with Mexico to protest family separa… https://t.co/7APn7HuoXG",Other,-0.25,0.0,0.905,0.095
122,CBS,Wed Aug 01 21:45:00 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=45, tm_sec=0, tm_wday=2, tm_yday=213, tm_isdst=-1)",23,"A U.S. appeals court says President Trump's executive order threatening to withhold funding from ""sanctuary cities""… https://t.co/HpdgKeTtFS",Legal/Criminal,-0.5267,0.0,0.815,0.185
123,CBS,Wed Aug 01 21:30:32 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=30, tm_sec=32, tm_wday=2, tm_yday=213, tm_isdst=-1)",24,Flights at a Paris airport were delayed Wednesday after a brawl between two French rap stars and their entourages… https://t.co/s913CJuWlx,Other,-0.2263,0.0,0.899,0.101
124,CBS,Wed Aug 01 21:14:31 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=14, tm_sec=31, tm_wday=2, tm_yday=213, tm_isdst=-1)",25,"Walmart, the nation's largest private employer, is facing a potential class-action lawsuit in New York for allegati… https://t.co/eHcHfzppih",Other,-0.2263,0.0,0.894,0.106
125,CBS,Wed Aug 01 21:01:22 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=21, tm_min=1, tm_sec=22, tm_wday=2, tm_yday=213, tm_isdst=-1)",26,WATCH: Rescuers find dog that survived wildfire by hiding inside an oven https://t.co/CxFdGiYpXo,Other,0.2732,0.2,0.667,0.133
126,CBS,Wed Aug 01 20:40:39 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=40, tm_sec=39, tm_wday=2, tm_yday=213, tm_isdst=-1)",27,"Harrisburg Diocese identifies 71 alleged sex abusers, cites failure of bishops https://t.co/V1PnGtXIe3 https://t.co/ileL2L5gQp",Other,-0.7845,0.0,0.615,0.385
127,CBS,Wed Aug 01 20:38:10 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=38, tm_sec=10, tm_wday=2, tm_yday=213, tm_isdst=-1)",28,"RT @CBSThisMorning: New video shows the terrifying moments after a Aeroméxico flight crashed and caught on fire in Mexico. 

Officials say…",Disaster/War,-0.7269,0.0,0.747,0.253
128,CBS,Wed Aug 01 20:34:35 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=34, tm_sec=35, tm_wday=2, tm_yday=213, tm_isdst=-1)",29,Russian reporters working on investigation with Putin foe killed in Africa https://t.co/JdJbVPJqEF https://t.co/lDSSwXo7lY,Disaster/War,-0.8126,0.0,0.598,0.402
129,CBS,Wed Aug 01 20:20:00 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=20, tm_sec=0, tm_wday=2, tm_yday=213, tm_isdst=-1)",30,"Former waitress anonymously sends $1,000 and apology to boss for stealing 20 years ago https://t.co/h2toIPuJaf https://t.co/ql1C55X0I9",Other,-0.5423,0.063,0.741,0.196
130,CBS,Wed Aug 01 20:04:49 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=20, tm_min=4, tm_sec=49, tm_wday=2, tm_yday=213, tm_isdst=-1)",31,"The dirt on the ground is making climate change worse, a new study finds https://t.co/yve75JPK1o https://t.co/SMlT6zuFXh",Other,-0.6705,0.0,0.703,0.297
131,CBS,Wed Aug 01 19:49:42 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=49, tm_sec=42, tm_wday=2, tm_yday=213, tm_isdst=-1)",32,"Former President Barack Obama is jumping back into the political fray, endorsing dozens of Democratic candidates ru… https://t.co/5E0SnOAu3Z",Politics,0.0,0.0,1.0,0.0
132,CBS,Wed Aug 01 19:35:00 +0000 2018,"time.struct_time(tm_year=2018, tm_mon=8, tm_mday=1, tm_hour=19, tm_min=35, tm_sec=0, tm_wday=2, tm_yday=213, tm_isdst=-1)",33,Conspiracy theorist Alex Jones wants a Texas judge to dismiss a defamation lawsuit filed against him by families of… https://t.co/wPNRNGEj8e,Legal/Criminal,-0.6486,0.0,0.751,0.249
